countries,topics,section_title,enb_start_date,enb_short_title,subtype,actors,enb_url,enb_long_title,type,id,enb_end_date
"Pakistan|Indonesia|China","","CLOSING COP AND COP/MOP PLENARY","03-Dec-08","COP/MOP3","PLENARY","Group of 77|European Union","http://www.iisd.ca/vol12/enb12354e.html","United Nations Climate Change Conference - Bali","COP","enb12354e_107","15-Dec-08"
"United States|Japan|Australia|Brazil|Canada|Netherlands|Mexico|Slovenia|Norway|Switzerland|China|New Zealand","Flexibility Mechanims","SBSTA/SBI JOINT SESSION","05-Nov-98","4th COP FCCC","PLENARY","Group of 77|African Group|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb1290e.html","Fourth Conference of the Parties to the Framework Convention on Climate Change","SBI/SBSTA","enb1290e_1","05-Nov-98"
"Qatar|South Africa|South Korea|China","","IN THE CORRIDORS","30-Nov-11","COP17","corridors","Brazil, South Africa, India and China|Group of 77|Asian Group","http://www.iisd.ca/vol12/enb12525e.html","Durban Climate Change Conference - COP17/CMP7","","enb12525e_10","30-Nov-11"
"","","SBSTA Conclusions and COP Draft Decision","04-Nov-02","COP-8","","","http://www.iisd.ca/vol12/enb12209e.html","Eighth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12209e_25","04-Nov-02"
"","","COP Decision","04-Nov-02","COP-8","","","http://www.iisd.ca/vol12/enb12209e.html","Eighth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12209e_61","04-Nov-02"
"Qatar","","IN THE CORRIDORS","04-Sep-12","AWGs","corridors","","http://www.iisd.ca/vol12/enb12553e.html","Bangkok Climate Change Conference - August 2012","working group","enb12553e_3","04-Sep-12"
"","","SBSTA Conclusions","04-Nov-02","COP-8","","","http://www.iisd.ca/vol12/enb12209e.html","Eighth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12209e_12","04-Nov-02"
"Falkland Islands (Islas Malvinas)|United Kingdom|Argentina","","OTHER MATTERS:","01-Dec-10","COP 16","","","http://www.iisd.ca/vol12/enb12489e.html","Cancún Climate Change Conference","sbi","enb12489e_13","01-Dec-10"
"","","IN THE CORRIDORS","23-May-06","UNFCCC SB 24","CORRIDORS","","http://www.iisd.ca/vol12/enb12302e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","","enb12302e_13","23-May-06"
"","","SBSTA Conclusions","15-Dec-03","UNFCCC COP-9","","","http://www.iisd.ca/vol12/enb12231e.html","Ninth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12231e_31","15-Dec-03"
"China","UNFCCC Functioning","WE ARE ALL CHILDREN OF KYOTO NOW","11-Jun-99","10th Session SBSTA & SBI","","Group of 77","http://www.iisd.ca/vol12/enb12110e.html","Tenth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","SBI","enb12110e_31","11-Jun-99"
"Cuba|Mali","","WGIII-12 REPORT APPROVAL OF THE SUMMARY FOR POLICYMAKERS","07-Apr-14","IPCC-39","","","http://www.iisd.ca/vol12/enb12597e.html","Twelfth Session of the Intergovernmental Panel on Climate Change (IPCC) Working Group III (WGIII-12) and Thirty-ninth Session of the Intergovernmental Panel on Climate Change (IPCC-39)","ipcc","enb12597e_2","12-Apr-14"
"Greenland|Antarctica|United Kingdom|United States","","Cryosphere","23-Sep-13","IPCC36","","","http://www.iisd.ca/vol12/enb12581e.html","Twelfth Session of Working Group I (WGI) of the Intergovernmental Panel on Climate Change (IPCC) and Thirty-sixth Session of the IPCC","","enb12581e_7","26-Sep-13"
"","","CMP Decision","28-Nov-11","COP17","","","http://www.iisd.ca/vol12/enb12534e.html","Durban Climate Change Conference - COP17/CMP7","","enb12534e_67","09-Dec-11"
"","","Development and Transfer of Technologies:","12-Nov-01","COP-7","","","http://www.iisd.ca/vol12/enb12189e.html","Seventh Conference of the Parties to the UN Framework Convention on Climate Change","","enb12189e_6","12-Nov-01"
"Netherlands|Bangladesh|Australia|Saudi Arabia|United Kingdom|Germany|Belgium","","","27-Sep-05","IPCC-24","","","http://www.iisd.ca/vol12/enb12276e.html","8th Session of WG-III and IPCC-24","","enb12276e_9","27-Sep-05"
"Australia|Russia|Brazil|Norway|New Zealand","","ADJUSTMENTS FOR LULUCF","20-May-05","UNFCCC SB 22","","European Union","http://www.iisd.ca/vol12/enb12263e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12263e_11","20-May-05"
"Bolivia|Venezuela","","IN THE CORRIDORS","17-Jun-11","SB 34","corridors","","http://www.iisd.ca/vol12/enb12512e.html","UN Climate Change Conference June 2011","","enb12512e_28","17-Jun-11"
"","","COP Decision","28-Nov-05","UNFCCC COP 11 and COP/MOP 1","","","http://www.iisd.ca/vol12/enb12291e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12291e_32","09-Dec-05"
"Antigua and Barbuda|Norway|China|Australia|Serbia|Iraq|Gambia|Grenada|Sudan|Sweden","","AD HOC WORKING GROUP ON FURTHER COMMITMENTS FOR ANNEX I PARTIES","02-Nov-09","AWGs","","Group of 77|Alliance of Small Island States|Umbrella Group|European Union|Group of 77 and China|African Group","http://www.iisd.ca/vol12/enb12447e.html","Barcelona Climate Change Talks 2009","WORKING GROUP","enb12447e_2","06-Nov-09"
"","","SBSTA Conclusions:","17-Jun-02","SB-16","","","http://www.iisd.ca/vol12/enb12200e.html","Sixteenth Sessions of the Subsidiary Bodies","","enb12200e_13","17-Jun-02"
"India|Saudi Arabia|China","","DEVELOPMENT AND TRANSFER OF TECHNOLOGY","09-Dec-96","AGBM 5, SBI 4, SBSTA 4, AG13 3","","Group of 77","http://www.iisd.ca/vol12/1239000e.html","Fifth Session of the Ad Hoc Group on the Berlin Mandate Fourth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","SBSTA","1239000e_30","18-Dec-96"
"Bangladesh|Nepal","","ORGANIZATIONAL MATTERS:","14-Dec-09","COP 15","","","http://www.iisd.ca/vol12/enb12454e.html","Copenhagen Climate Change Conference","sbsta","enb12454e_5","14-Dec-09"
"","","AWG ISSUES:","14-Nov-06","COP/MOP2","","","http://www.iisd.ca/vol12/enb12314e.html","UN Climate Change Conference – Nairobi 2006","","enb12314e_4","14-Nov-06"
"Singapore","","ADP WORKSHOP ON WORKSTREAM 1 - ENHANCING ADAPTATION THROUGH THE 2015 AGREEMENT:","07-Jun-13","SB 38","plenary","","http://www.iisd.ca/vol12/enb12573e.html","Bonn Climate Change Conference - June 2013","working group","enb12573e_6","07-Jun-13"
"Colombia|Argentina","","SBI conclusions","28-Jun-04","UNFCCC SB-20","","Alliance of Small Island States|Least Developed Countries","http://www.iisd.ca/vol12/enb12242e.html","Twentieth Session of the Subsidiary Bodies to the UN Framework Convention on Climate Change","","enb12242e_52","28-Jun-04"
"","","Discussion:","26-Apr-02","Workshop","","","http://www.iisd.ca/vol12/enb12191e.html","Expert meeting on methodologies for technology needs assessments","","enb12191e_26","26-Apr-02"
"","","WORK PROGRAMME:","11-Dec-08","COP 14","","","http://www.iisd.ca/vol12/enb12393e.html","UN Climate Change Conference - Poznań","working group","enb12393e_39","11-Dec-08"
"","","REPORT ON THE ACTIVITIES OF THE IPCC EXECUTIVE COMMITTEE","27-Oct-14","IPCC-40","plenary","","http://www.iisd.ca/vol12/enb12607e.html","Fortieth session of the Intergovernmental Panel on Climate Change (IPCC-40)","ipcc","enb12607e_30","31-Oct-14"
"","","SBSTA conclusions on mitigation","28-Jun-04","UNFCCC SB-20","","","http://www.iisd.ca/vol12/enb12242e.html","Twentieth Session of the Subsidiary Bodies to the UN Framework Convention on Climate Change","","enb12242e_22","28-Jun-04"
"","","MEANS TO REACH EMISSION REDUCTION TARGETS:","13-Jun-08","SB-28","","","http://www.iisd.ca/vol12/enb12374e.html","Twenty-eighth Sessions of the UNFCCC Subsidiary Bodies, Second Session of the Ad Hoc Working Group Under the Convention, and fifth Session of the Ad Hoc Working Group Under the Kyoto Protocol","working group","enb12374e_6","13-Jun-08"
"Mauritius|Tuvalu|Australia|United States","","AGENDA/MAURITIUS STRATEGY","26-May-06","UNFCCC SB 24","","","http://www.iisd.ca/vol12/enb12305e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","sbsta","enb12305e_13","26-May-06"
"","","COOPERATION WITH OTHER INTERNATIONAL ORGANIZATIONS:","04-Jun-14","SB 40","","","http://www.iisd.ca/vol12/enb12598e.html","Bonn Climate Change Conference - June 2014","","enb12598e_80","15-Jun-14"
"Japan|Bhutan|United States|China","","CAPACITY BUILDING","03-Dec-03","UNFCCC COP-9","","Group of 77","http://www.iisd.ca/vol12/enb12223e.html","Ninth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12223e_14","03-Dec-03"
"Germany","","IMPLEMENTATION OF THE IPCC ERROR PROTOCOL","05-Oct-15","IPCC-42","","","http://www.iisd.ca/vol12/enb12645e.html","42nd Session of the Intergovernmental Panel on Climate Change (IPCC-42)","IPCC","enb12645e_22","08-Oct-15"
"Malaysia|China|United Kingdom|Germany|France|Sweden","","WORKSHOP ON MITIGATION: URBAN PLANNING AND DEVELOPMENT","12-May-07","SB 26","","European Union","http://www.iisd.ca/vol12/enb12327e.html","Twenty-sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)","sbi/sbsta","enb12327e_10","12-May-07"
"","","APPROVAL OF THE DRAFT REPORT OF THE 34TH SESSION","06-Jun-12","IPCC-35","","","http://www.iisd.ca/vol12/enb12547e.html","Thirty-fifth Session of the Intergovernmental Panel on Climate Change (IPCC)","ipcc","enb12547e_2","09-Jun-12"
"Tuvalu|Jamaica|Sudan|United States|Malaysia|Chile|Bolivia|Brazil|Uganda|Maldives|Mexico|Saudi Arabia|Singapore|Switzerland","Post-Kyoto Agreements 2","GENERAL/OBJECTIVE","09-Feb-15","COP 20","","African Group|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12621e.html","Geneva Climate Change Conference - February 2015","working group","enb12621e_3","09-Feb-15"
"","","TIMING OF THE ELECTION OF A NEW BUREAU","02-Oct-01","IPCC-18","","","http://www.iisd.ca/vol12/enb12177e.html","IPCC-18","","enb12177e_40","02-Oct-01"
"","","FINAL JOINT SBI/SBSTA PLENARY","11-Jun-99","10th Session SBSTA & SBI","PLENARY","","http://www.iisd.ca/vol12/enb12110e.html","Tenth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","SBI/SBSTA","enb12110e_30","11-Jun-99"
"Czech Republic|Slovakia|Germany","","LEGAL MATTERS","25-Feb-97","5th Session SBSTA & SBI, AG13 4","","","http://www.iisd.ca/vol12/1240000e.html","Fifth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","SBI","1240000e_16","28-Feb-97"
"India|Iran|United States|Japan|Kuwait|Kenya|Canada|Malawi|Benin|United Kingdom|Malaysia|Senegal|Philippines|Australia|Netherlands|Saudi Arabia|Micronesia|France|China|New Zealand","","WORKING GROUP I","13-Feb-95","11th Session of the INC","groups","Group of 77|European Union","http://www.iisd.ca/vol12/1206000e.html","Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC)","cop","1206000e_6","13-Feb-95"
"Russia|India|Iran|Venezuela|Argentina|United States|Japan|Chile|Germany|Brazil|Canada|Poland|United Kingdom|Malaysia|Russian Federation|Philippines|Australia|Burkina Faso|Netherlands|Spain|Saudi Arabia|Denmark|Peru|Samoa|Norway|Switzerland|China|New Zealand","Pre-Kyoto","AGENDA ITEM 2 ELECTION OF OFFICERS OTHER THAN THE CHAIR","30-Oct-95","2nd Session of the AGBM","","Organisation for Economic Co.operation and Development|Group of 77|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/1224000e.html","Second Session of the Ad Hoc Group on the Berlin Mandate","working group","1224000e_3","03-Nov-95"
"Brazil|Jordan|Canada|Ukraine|Japan|China|Australia|Zambia|Croatia|Papua New Guinea|Saudi Arabia|Belarus|United Kingdom|Grenada|Guinea|Bolivia","","CHAPTER III (flexibility mechanisms) (AWG-KP)","03-Dec-10","COP 16","","European Union","http://www.iisd.ca/vol12/enb12491e.html","Cancún Climate Change Conference","","enb12491e_3","03-Dec-10"
"United States|Japan|Philippines|Australia|Uganda|Canada|Colombia|Saudi Arabia|Barbados|China","","FINANCE:","01-Oct-09","AWGs","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12431e.html","Bangkok Climate Change Talks - 2009","working group","enb12431e_7","01-Oct-09"
"Sri Lanka|Nicaragua|Norway|Australia|Peru|Costa Rica|Pakistan|Bolivia|Chile|Papua New Guinea|Colombia|Switzerland|Sudan|Ecuador|Malaysia|Algeria|Venezuela|Iran|China|Dominica|Panama|Saudi Arabia|El Salvador|Swaziland|Argentina|India|Philippines|Congo|Nauru|Gambia|Egypt|Guinea","Post-Kyoto Agreements 2","AD HOC WORKING GROUP ON THE DURBAN PLATFORM FOR ENHANCED ACTION","26-Nov-12","COP 18","PLENARY","Group of 77|Brazil, South Africa, India and China|Alliance of Small Island States|Umbrella Group|European Union|Environmental Integrity Group|Bolivarian Alliance For The Peoples Of Our America|League of Arab States|Coalition for Rainforest Nations|African Group","http://www.iisd.ca/vol12/enb12567e.html","Doha Climate Change Conference - November 2012","WORKING GROUP","enb12567e_38","08-Dec-12"
"Russia|Oman|United States|Russian Federation|Japan|Australia|Kuwait|Kenya|Canada|Tunisia|Antigua and Barbuda|Mexico|Micronesia|Switzerland|China|France","Financial Mechanisms and Funds 1","SUBSIDIARY BODY FOR IMPLEMENTATION","12-Jul-96","2nd COP FCCC","","Group of 77|European Union","http://www.iisd.ca/vol12/1232000e.html","Second Conference of the Parties to the Framework Convention on Climate Change","sbi","1232000e_1","12-Jul-96"
"Malta","","ZIMBABWE","07-Apr-95","1st COP FCCC","","","http://www.iisd.ca/vol12/1220000e.html","First Conference of the Parties to the Framework Convention on Climate Change","","1220000e_2","07-Apr-95"
"Chad|Tuvalu|United States|Saudi Arabia|Central African Republic|Brazil|Norway","Pre-Kyoto","CROSS CUTTING ISSUES","15-Apr-00","UNFCCC WORKSHOP","","Organization of Petroleum Exporting Countries|European Union","http://www.iisd.ca/vol12/enb12126e.html","UNFCCC WORKSHOP ON BEST PRACTICES IN POLICIES AND MEASURES","","enb12126e_2","15-Apr-00"
"","","COP/MOP Decision","01-Dec-08","COP 14","","","http://www.iisd.ca/vol12/enb12395e.html","UN Climate Change Conference - Poznań","","enb12395e_60","12-Dec-08"
"Australia|Canada|Japan|China","","Adverse Effects:","12-Nov-01","COP-7","","Group of 77","http://www.iisd.ca/vol12/enb12189e.html","Seventh Conference of the Parties to the UN Framework Convention on Climate Change","","enb12189e_14","12-Nov-01"
"India|Chad|Iran|Argentina|Marshall Islands|Gambia|Japan|Germany|Mauritius|South Africa|Cuba|Colombia|Turkey|Rwanda|Ireland|Philippines|Czech Republic|Morocco|Greece|Iceland|Burkina Faso|Ukraine|Spain|Saudi Arabia|Suriname|Norway|Kazakhstan|New Zealand|Russia|Burundi|Bangladesh|United States|Yemen|Chile|Belgium|Niger|Mexico|Slovenia|Austria|Malawi|Benin|Nepal|Sweden|Tuvalu|Oman|United Kingdom|Malaysia|Russian Federation|Italy|Ghana|Australia|Kiribati|Mozambique|Indigenous Peoples|Maldives|Panama|Netherlands|Costa Rica|Bhutan|Nigeria|France|China|Samoa","Pre-Kyoto","ROUND-TABLE DISCUSSIONS","15-Dec-03","UNFCCC COP-9","","Group of 77|Environmental Integrity Group|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12231e.html","Ninth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12231e_79","15-Dec-03"
"","","Informal Drafting Group","03-Apr-08","AWGs","","","http://www.iisd.ca/vol12/enb12360e.html","First session of the Ad Hoc Working Group on Long-term Cooperative Action under the Convention (AWGLCA 1) and Fifth session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol to the UNFCCC (AWG 5)","","enb12360e_4","03-Apr-08"
"Samoa|Norway|Japan|China|Tanzania|Luxembourg|South Africa|Niue","","GENERAL DEBATE","01-Dec-97","3rd COP FCCC","","Group of 77|European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb1276e.html","Third Conference of the Parties to the Framework Convention on Climate Change","COP","enb1276e_5","11-Dec-97"
"Netherlands|Belize|China|Australia|Sudan|Argentina","","TECHNOLOGY TRANSFER:","31-May-10","AWGs","","","http://www.iisd.ca/vol12/enb12472e.html","Bonn Climate Change Talks - May/June 2010","","enb12472e_71","11-Jun-10"
"Germany","","ARRANGEMENTS FOR INTERGOVERNMENTAL MEETINGS","27-May-05","UNFCCC SB 22","","","http://www.iisd.ca/vol12/enb12269e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12269e_3","27-May-05"
